"","BlueV","GreenV","RedV","RedEdge1V","RedEdge2V","RedEdge3V","NIRV","NIR2V","SWIR1V","SWIR2V","BlueP","GreenP","RedP","RedEdge1P","RedEdge2P","RedEdge3P","NIRP","NIR2P","SWIR1P","SWIR2P","BlueO","GreenO","RedO","RedEdge1O","RedEdge2O","RedEdge3O","NIRO","NIR2O","SWIR1O","SWIR2O","Class_Id"
"213",845.25,734.75,590,804.5,1693,2072.75,2023.25,2313.25,1209.5,558.75,793.25,646.25,437,706.75,1640.75,1951.25,1976.5,2104,1137.75,536.75,870.25,617.5,395.5,564.75,1379.25,1634.25,1670.75,1751.5,694.5,303.75,5
"214",827.75,711,546.75,754.5,1688.25,2097.25,2029.75,2331.5,1040,466.25,760.75,598.5,377.75,605.75,1512.5,1808.5,1824.5,1953.75,896,420.5,836.5,552.5,333.75,420.75,999.25,1159.75,1153.25,1220.5,403.5,177.75,5
"215",872,779,664.75,876.25,1799,2224.25,2175.75,2494.75,1331.5,620,797.25,650.5,452,728.25,1538,1773.5,1836,1962,1161.25,575.75,895.5,655,428.5,653,1574,1932,1933,2078.25,790.25,331.25,5
"216",835.25,732.75,591,790.75,1600,1955.5,1887,2158.5,1096,521.75,771.5,606.75,400.75,647.5,1441,1656.5,1653.25,1768.25,931.5,458.25,833.25,562.5,344,453.75,913.75,1063.25,1058,1121.5,408.5,174.75,5
"217",847.25,744.75,595,814.5,1742.75,2127.75,2072,2367.75,1171,521.25,782.5,618.5,410.5,650.75,1497.25,1772.75,1789.25,1923,1028,492.25,856.25,587,359.25,499.5,1140,1343,1317.25,1436,527.5,225.5,5
"218",883.75,807.5,682.25,935.5,1921.25,2366.75,2286.75,2630,1449,681.5,826,692.25,499.5,810,1777.5,2061.25,2123,2269.25,1339.5,671.25,900.75,674.75,446.75,670,1684.5,1980.25,2004.25,2133.5,905.25,390,5
"219",853,773.5,616,905,1958.25,2386.25,2322.75,2663.75,1369.25,623.5,803.25,691.25,460.5,828.5,2045.25,2372.5,2415.75,2574.75,1315.75,616.25,908,720.25,468,814.25,2100.5,2496,2563.5,2738,1108.25,468.75,5
"220",858.75,767,656.5,863.25,1632.25,1990.25,1940.75,2235,1287,643.75,803.25,673.75,472,739,1500,1736.5,1771.25,1913.25,1119,564.25,875,636.25,425,598.25,1337.75,1586,1609,1708.75,751,348.5,5
"221",830.25,745,524.75,816,1896,2322,2217,2498.25,897.25,382.25,802.75,666.5,421,737.25,1880.5,2237.5,2217,2394.25,876.25,398.25,882,631,369.75,557.75,1597.25,1959.5,1919.75,2040.25,522.5,199.75,5
"222",862.75,838.75,594.25,979.25,2142,2581.5,2476.5,2842.5,992,413.5,849.25,767,512.25,914.25,2222.75,2630.75,2646.25,2806.75,1116,516.25,961.25,810.75,498.75,929.75,2769.25,3321,3321.75,3593.5,904.5,372.25,5
"223",812.25,695,495,719.25,1538,1810.75,1749.25,2005.75,977.5,428.5,781,601,372.5,575.75,1373.75,1680,1608.75,1799.75,859.5,415.5,832.75,510,280.25,270.5,373.75,384.75,355,361.75,102.5,53.75,5
"224",829.75,722.75,519.75,777.5,1683.25,2004,1930.75,2202.25,1071.25,465.25,805.5,660,409.25,684,1788.5,2153,2145.5,2303.5,1063.25,482.5,882.25,609.75,361.75,480.75,1194.5,1380.25,1419.75,1568.75,529.5,222,5
"225",823.25,738,513.5,806,1725,2064.25,1954.75,2205.5,1017.25,433,775.25,632,384,650.75,1757.25,2088,2030,2202.75,962.25,429.5,864.5,603.5,347.25,504.25,1197.25,1408.25,1329,1463.25,522,206.75,5
"226",824.5,724.75,514.75,775.25,1661.75,1965,1930.75,2155.25,1107.25,471.5,786.5,616.25,381.75,605.25,1562,1831.75,1794.5,1985,1016.25,475,850.5,561.5,327,400.75,801.75,948.5,868.5,904.75,396.5,185.5,5
"227",823.5,702.75,519.5,725.25,1585.25,1942.5,1868,2118.25,1027.25,449.25,786.5,615.25,395,603.75,1482.75,1737.5,1709,1899.25,997.25,481.25,868,596.75,359,467.75,1105.25,1320.25,1312,1416.25,525,234.5,5
